Area code,Area name,Region,Rural Urban Classification,Population,Aged 4 years and under,Aged 5 to 14 years,Aged 15 to 19 years,Aged 20 to 34,Aged 35 to 54,Aged 55 to 64,Aged 65+,GDHI (£m),"GP Surgeries per 100,000 people","Doctors per 100,000 people",Very good health,Good health,Fair health,Bad health,Very bad health,Longitude,Latitude
E06000001,Hartlepool,North East,Urban,92300,4982,11502,5180,16489,22522,13429,18233,53.28,16.7774678606631,83.07,39817,30749,14415,5625,1732,-1.2594,54.6694
E06000002,Middlesbrough,North East,Urban,143900,8928,19260,8571,30813,34085,18089,24180,69.66,14.4120537176548,129.51,67207,46382,19821,7969,2545,-1.2223,54.542
E06000003,Redcar and Cleveland,North East,Urban,136500,6814,15867,7124,21945,32816,20220,31747,69.96,13.0493410082791,122.85,58085,46416,21633,7916,2481,-1.0208,54.5517
E06000004,Stockton-on-Tees,North East,Urban,196600,10733,25450,10617,34742,51125,26744,37184,113.18,11.3627942593187,176.94,91479,65521,27307,9392,2896,-1.3324,54.5615
E06000005,Darlington,North East,Urban,107800,5496,12956,5785,18773,27892,14859,22040,62.88,10.8536386823683,97.02,48749,37324,15383,5016,1328,-1.5529,54.5487
E06000006,Halton,North West,Urban,128200,6954,15955,7152,23182,33947,17329,23960,78.46,11.5752351701945,115.38,59066,41455,18088,7491,2380,-2.6801,53.3318
E06000007,Warrington,North West,Urban,210900,10631,25182,11130,36941,58249,28685,40159,131.73,13.1833569535145,189.81,105613,69138,25599,8265,2359,-2.5629,53.3989
E06000008,Blackburn with Darwen,North West,Urban,154800,10056,22895,10857,30157,41004,17366,22403,88.19,15.2378049941906,139.32,73950,50010,20507,7826,2445,-2.4675,53.6925
E06000009,Blackpool,North West,Urban,141100,7360,15769,7390,25517,35398,20411,29191,76.41,12.613168147546,126.99,56933,47255,23963,9777,3108,-3.0292,53.8179
E06000010,"Kingston upon Hull, City of",Yorkshire and The Humber,Urban,267100,15954,34078,15484,60464,68066,32143,40824,151.55,14.7090188348986,240.39,0,0,0,0,0,-0.3024,53.7721
